video_id,item_id,release_date,status,channel_id,channel_name,subscribers,views,likes,comments,duration,live_status
MTrZXHaXPrU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44OEIxNDFBNDcxNTFENUQ5,2023-01-01 17:00:09+00:00,public,UCDVKYPXwdYUQfgA05CkyFSg,GameChops,534000,36899,2268,114,5327.0,none
yK9-pCsn5o0,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43RTM4MTk4NDdBOTQxQUI3,2023-01-01 16:00:25+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5100000,3117,165,11,2604.0,none
BNQraT3UMhw,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45RUY3OTQ1RjExRkY3QzFB,2023-01-02 10:00:04+00:00,public,UCdUXAN90UQV4sxNehj5Vflw,Nora En Pure,335000,44008,1219,132,3609.0,none
dt6MWHVY4qI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44N0ZBMDA1REM5Q0VCMDFD,2023-01-02 12:00:16+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5100000,20371,254,83,3596.0,none
CeiP904BMzY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44MTM4MjAxNjJBNTQ0NzE0,2023-01-02 19:55:09+00:00,public,UCr8oc-LOaApCXWLjL7vdsgw,UKF Drum & Bass,2560000,82877,2692,176,3774.0,none
lT5lFeaInl4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS41QTI5MTQwQTAzRUYyMThD,2023-01-02 19:19:37+00:00,public,UCSJ4gkVC6NrvII8umztf0Ow,Lofi Girl,11800000,76765,2739,158,836.0,none
cMKRWpGwOEY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS42M0ZDNUZGRUY1NUZBODk3,2023-01-02 22:59:05+00:00,public,UCU4gE6_3JrqOXBlA2npWiBw,TritonalTV,136000,497,35,5,3601.0,none
gKNnD6it1e0,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DM0Q3OEIwOTA1N0YyNDEy,2023-01-04 19:55:08+00:00,public,UCfLFTP1uTuIizynWsZq2nkQ,UKF Dubstep,6270000,12711,602,70,2487.0,none
QWVzUAiVVRc,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS40RDIzMDc3Q0U3OEE0NDc1,2023-01-04 16:00:15+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5100000,13052,616,42,4467.0,none
hcopwCHhhoU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5BNkNBMDFDMkQzN0RDODRC,2023-01-04 17:17:47+00:00,public,UC8eXqFK48M3bBSmMO1FRgIA,drumcodeofficial,355000,6412,254,19,3731.0,none
th8uOzc3qeU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS40QTE4NjI2MzAzQjU5OTAx,2023-01-04 11:00:03+00:00,public,UCU4gE6_3JrqOXBlA2npWiBw,TritonalTV,136000,735,45,3,4212.0,none
DkU5NVtoWP8,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4yQjU2NEE0NUJCMEJCMjhB,2023-01-04 23:15:45+00:00,public,UCNVeD_tHABqF-fvbe20ZsPA,Aly & Fila,143000,10450,472,31,7178.0,none
c_nV5iDg1lY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4yRjFEQzg0OTlBMkEyMENE,2023-01-05 16:43:38+00:00,public,UCpDJl2EmP7Oh90Vylx0dZtA,Spinnin' Records,29800000,19036,611,18,3546.0,none
UrWHksV5dVo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wRUQzNjUxQjQ2RUMwRkU5,2023-01-05 17:07:51+00:00,public,UCbDgBFAketcO26wz-pR6OKA,Anjunadeep,540000,17188,475,70,3870.0,none
d5aOygp2JOI,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xRUE3NkZCRjhBNEFDRDA1,2023-01-05 16:00:08+00:00,public,UCiiN5Ld9pGMwcYrLUJfYlCQ,Mixmash Records,137000,985,68,19,15000.0,none
VQrQTU-eRsA,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5FQ0NFMkE2NjJENzU5OTc5,2023-01-05 21:12:11+00:00,public,UCu5jfQcpRLm9xhmlSd5S8xw,Armin van Buuren,5420000,151211,4508,363,7090.0,none
Nojm_vSJrfU,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5GQkU0MzAwMzE4NDRDRkVB,2023-01-05 21:46:58+00:00,public,UCLFiirHOF-wa3QRExEa4m8A,Nicky Romero,1530000,6878,264,7,3500.0,none
8lfNQjDZNy4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43OEE4Mjg3QUM3N0IxMUYy,2023-01-06 09:02:26+00:00,public,UCO0sfpPwj3PGVVH_jiqBA6A,Future House Cloud,264000,97673,593,22,5562.0,none
tePU6M9gr74,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5COTBCMTlDNDZDOTExNTc5,2023-01-06 13:53:29+00:00,public,UCljsGZjRVayVZHgSAxeSafg,Galacy,4450,1011,83,17,3126.0,none
-kUsHL5_3K8,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5BNjIxOThCMjIwNkEyMDU1,2023-01-06 15:00:00+00:00,public,UCPk3RMMXAfLhMJPFpQhye9g,Tiësto,6360000,61466,1841,127,3488.0,none
GyovOlnBozw,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xNENDREYwM0NFNzY5NjhG,2023-01-06 19:00:08+00:00,public,UCALs6y97IVNeuzPg-j56lOg,Disciple,184000,9315,1060,192,720.0,none
Fv5fZeT-yBA,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5CQUUxNDNDQTFCNTFGN0NC,2023-01-06 21:00:06+00:00,public,UCd61k-5ykv_4RIbQg-Mpvrg,Timmy Trumpet,613000,15360,454,59,3605.0,none
wr1by1XN_bM,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zQjBFQzA2QTJDMTI0QkZF,2023-01-06 21:00:11+00:00,public,UCmKm7HJdOfkWLyml-fzKlVg,Afrojack,2540000,6796,282,23,3610.0,none
lst2oONur3o,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5GMkUzNjEzMkRDMTdDREMx,2023-01-06 21:15:03+00:00,public,UCVE-ybBDg3UHSUylEVdPAsw,Above & Beyond,978000,51791,1104,56,7195.0,none
LXaBTSa8gG4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5GODY3RDUzODU3MUI2OTE2,2023-01-07 07:07:06+00:00,public,UCGXkgynD9YyoEIVyqpaUElw,Enhanced Music,91600,1892,93,12,7205.0,none
P0nrIt-gOBA,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS44MkM0OUM5QUYwRTBENUI3,2023-01-07 16:00:10+00:00,public,UCtZZIenge-VfCE1eAXgLd4g,Culture Shock by Vintage Culture,10600,4868,218,22,3554.0,none
kJ4CnVIRKtQ,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS41M0YyRDc3OEFERDhEQjU2,2023-01-07 16:30:09+00:00,public,UC9EzN5XNxhxqHZevM9kSuaw,ApproachingNirvana,311000,1492,108,10,7369.0,none
FmlmFUW3tTk,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DMUY3RUI4QUJDRDY4NDA0,2023-01-07 17:00:07+00:00,public,UC-EVnno6x6-aAG6g1ZVoN3A,Oliver Heldens,840000,728,49,6,6583.0,none
F3HtIHzpnfs,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4zOTQ3MzI4RDU0REVDNzc5,2023-01-09 10:59:10+00:00,public,UCdUXAN90UQV4sxNehj5Vflw,Nora En Pure,337000,42559,1097,142,3652.0,none
PvgakSACu-Q,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4yMDY2QkUyNDkxMEZBRkRC,2023-01-09 18:21:56+00:00,public,UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,5100000,21219,324,21,3595.0,none
pFRhqo9iQ-Y,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS43MUYwREI2M0UxQkIzNkUw,2023-01-09 19:06:40+00:00,public,UC5nc_ZtjKW1htCVZVRxlQAQ,MrSuicideSheep,12800000,44965,1988,58,3498.0,none
iWyinvODq8I,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wODI5RUI2RDQzMUM1NEYx,2023-01-10 13:55:39+00:00,public,UCZyINKAa5O4FH15Zbw3L32w,Julian Jordan,105000,2316,272,36,3432.0,none
mS8yEWE_MmY,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS45MkQ0ODBDNzk1RTE4MjFG,2023-01-10 16:00:09+00:00,public,UCBIfsPaQviN1LpnkWQvAGMQ,1001Tracklists,115000,1181,69,2,4905.0,none
cVxfA__Lzok,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DM0I4OUE4MzY0NzUyMkY5,2023-01-10 17:05:24+00:00,public,UCC1qRH2kSGu7AzBwqEPVnjg,Anjunabeats,311000,5345,249,15,3600.0,none
Iz7uFFgZxU4,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS5DMTQyM0QzRENFODRCNzM0,2023-01-10 22:02:42+00:00,public,UC4N1snt2b0d83vOkvaWP6mg,Vintage Culture,1050000,142772,5429,578,21688.0,none
UT2dW5Txovo,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4wNzc1MjcyNjczMTQ2OTI4,2023-01-11 08:00:11+00:00,public,UC8eXqFK48M3bBSmMO1FRgIA,drumcodeofficial,355000,6727,265,23,3650.0,none
A4m7wL9PZrc,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS42NTNDRDFCQzAzNUVDNzlE,2023-01-11 15:00:15+00:00,public,UCXvSeBDvzmPO05k-0RyB34w,Future House Music,1150000,4970,214,23,3544.0,none
B4Ig-8afkS8,UExPTVVkUUZkUy1YTUo0TkZISmxTQUxZQXQ0bC1MUGdTMS4xRDIzMDAwMEQ1MEU3MjQy,2023-01-11 23:08:54+00:00,public,UCNVeD_tHABqF-fvbe20ZsPA,Aly & Fila,144000,9332,424,29,7132.0,none
